HUB,Numero_Tarefa,Nome_Tarefa,Status,Data,Ultima_Chamada
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
AbasteceBem,undefined,undefined,Normalizada,18/01/2022 20:45:16,undefined
Unilever,undefined,undefined,Hub ativo,18/01/2022 20:49:23,undefined
Unilever,undefined,undefined,Parada,18/01/2022 20:49:23,undefined
Food,undefined,undefined,Hub ativo,18/01/2022 20:49:23,undefined
Food,undefined,undefined,Parada,18/01/2022 20:49:23,undefined
Nike,undefined,undefined,Hub ativo,18/01/2022 20:49:23,undefined
Middleware,undefined,undefined,Hub ativo,18/01/2022 20:49:23,undefined
Climate,undefined,undefined,Hub ativo,18/01/2022 20:49:23,undefined
Climate,undefined,undefined,Atrasada,18/01/2022 20:49:23,undefined
Fabercastell,undefined,undefined,Hub ativo,18/01/2022 20:49:23,undefined
Hersheys,undefined,undefined,Hub ativo,18/01/2022 20:49:23,undefined
Mondelez,undefined,undefined,Hub ativo,18/01/2022 20:49:23,undefined
Loja Perfeita,undefined,undefined,Hub ativo,18/01/2022 20:49:23,undefined
